Utterance Id,Conversation Id,Sentence Tags,Level of Difficulty,Character,Utterance
1,1,Question,,1,Hi I was thinking about talking to HR about a potential raise. What do you think ?
2,1,,,2,Hey! That's great that you're thinking about talking to HR about a raise. I'm sure you deserve it! What do you think the chances are that you'll get it?
3,1,,,1,Thank you! I think there is a decent chance. I have provided our department with a 30% increase in output while keeping under budget.
4,1,,,2,"Wow, that's awesome! You definitely have a strong case for a raise. I think it's definitely worth a shot to talk to HR about it. Good luck!"
5,1,,,1,Do you have any advice. Show I show myself as a confident in my demands or should I show more humility?
6,1,,,2,"I think it's important to be confident in yourself and your abilities, but it's also important to be humble. I think the best approach is to focus on the value that you bring to the company and how you've contributed to its success. Emphasize what you've accomplished and how you've helped the company achieve its goals, but also be open to feedback and willing to continue learning and growing. Good luck!"
7,2,,,1,"I'm worried about my dog Lucy, she's not been eating her usual portions. She also seems lethargic and sad."
8,2,,,2,"Oh no, that sounds really worrying! I'm sorry to hear that Lucy's not feeling well. Is there anything I can do to help?"
9,2,,,1,I just dont know if this is normal behavior or if I should just go to the vet.
10,2,,,2,"Hmm, that's tough. It might be a good idea to call the vet and see what they think. They'll be able to give you some advice based on what's going on with Lucy. In the meantime, maybe try giving her some of her favorite treats or trying to tempt her with some different types of food to see if that helps. And make sure she's getting plenty of rest and lots of love from you!"
11,2,,,1,That's very good advice. Thank you. She loves to eat very meaty treats. Do you know of any other type of dog treat she might enjoy?
12,2,,,2,"There are so many different types of dog treats out there, it can be tough to know where to start! Some other options you might want to try are freeze-dried meat treats, which are usually made from a single ingredient (like chicken or beef) and are packed with flavor. You could also try making your own treats at home using a simple recipe like mixing together some mashed sweet potato and a little bit of cooked chicken. Or, you could try giving her some healthy human foods as treats, like small pieces of cooked carrot or a little bit of cheese. Just be sure to check with your vet first to make sure any new treats you give her are safe and appropriate for her specific needs."
13,2,,,1,"Are there any faux pas with making dog treats? Say, like adding chocolate to the mix ?"
14,2,,,2,"There are definitely some ingredients that you'll want to avoid when making treats for your dog. Chocolate is one of them, as it can be toxic to dogs and can cause symptoms like vomiting, diarrhea, and tremors. Other ingredients to avoid include things like grapes and raisins, which can also be toxic to dogs, as well as onions and garlic, which can cause anemia. You'll also want to be careful about giving your dog treats that are high in fat or sugar, as these can contribute to health problems like obesity and dental issues. Stick to using simple, healthy ingredients, and you should be good to go!"
15,2,,,1,Shes a Dachshund so she is a bit fat and might potentially develop diabetes. Any treats that might keep her lean?
16,2,,,2,"If your Dachshund is at risk for developing diabetes or is overweight, it's especially important to be mindful of the treats you give her. Look for low-fat, low-sugar treats that are made with healthy ingredients like whole grains, fruits, and vegetables. You might also want to try giving her smaller amounts of treats more frequently, rather than a few larger treats throughout the day. Another option could be to use healthy ""people food"" as treats, like small pieces of cooked carrot or a slice of apple. Just be sure to check with your vet before making any changes to your dog's diet or treat routine, to make sure you're meeting her specific needs."
17,2,,,1,Maybe some daily exercise might be essential as well. Would you happen to know how much exercise a dog of her breed might need per day?
18,2,,,2,"The amount of exercise your Dachshund needs will depend on a variety of factors, including her age, size, and overall health. In general, Dachshunds are energetic little dogs that need plenty of daily exercise to stay happy and healthy. Aim to give your Dachshund at least 30 minutes of exercise per day, with a mix of walks, runs, and playtime. This could include activities like going for a walk around the neighborhood, playing fetch in the park, or just running around in the backyard. Just be sure to pay attention to your dog's energy levels and needs, and adjust the amount of exercise accordingly. If you're not sure how much exercise your Dachshund needs, your vet can help you come up with a plan that's right for her."
19,2,,,1,"Alright, that was very useful! Thank you. ttyl"
20,2,,,2,"You're welcome! I'm glad I could help. If you have any other questions, just let me know. Take care, and don't forget to give Lucy lots of love and attention. TTYL!"
21,3,,,1,I am a bit nervous about my upcoming meeting with the board of investors. They were expecting better numbers for this year but we have barely managed to keep afloat.
22,3,,,2,"Don't worry, friend! I'm sure you'll do great in the meeting. You're a smart and capable business owner, and you'll be able to come up with a plan to get back on track. Just stay calm and remember that you've got this."
23,3,,,1,"You see, we've had to deal with inefficiencies in our logistics due to the company going through a rough time. They have always been loyal to us and given us good prices. However, their performance is hurting our margins. I am not sure if should look for a different logistics company. "
24,3,,,2,"I understand why you might be feeling hesitant about making changes to your logistics set-up. It's natural to feel a sense of loyalty to a company that has been good to you in the past. But at the same time, it's also important to make decisions that are in the best interest of your business. If switching to a different logistics company could improve your margins, it might be worth considering. It's always a good idea to explore all your options before making a decision."
25,3,,,1,"I think I'm decided. I will look to switch logistics of our main product to a different, more efficient company. In the meantime, I believe I can delegate less-important products to the loyal company. This should show loyalty back while allowing us to survive. Can you think of a way of respectfully and firmly letting the board of directors know this?"
26,3,,,2,"Sure thing! Here's one way you could approach it:""Thank you for your continued support and loyalty to our company. We value our relationship with you and have always appreciated the competitive prices and reliable service you've provided.However, we've been facing some challenges with our margins and have made the difficult decision to switch the logistics of our main product to a different company. This will allow us to improve efficiency and better serve our customers.We'd like to continue working with you on less-critical products and hope that this change won't affect our overall partnership. We hope you understand our need to make this decision and we look forward to continuing to work with you in the future.""This message expresses your appreciation for the company's past support, while also being clear and firm about the decision you've made. It also leaves the door open for continuing the relationship in some capacity."
27,3,,,1,Excellent advice. I'll let you know how the meeting goes!
28,3,,,2,"I'm here to help in any way I can. Good luck with the meeting and let me know if you have any other questions or need support. I'm always here for you, friend."
29,4,,,1,I have saved up a lot of money this past decade at work. I want to invest it somewhere but I am not sure what would be the best market to enter.
30,4,,,2,"Hey, that's great that you have some savings to invest! Have you considered what kind of business you want to start? That might help narrow down the market you should consider entering."
31,4,,,1,"Well I mostly have some experience in the food industry though my family's bakery. I know how hard it is though. I am educated as a graphic designer though, so a design firm is a strong possibility."
32,4,,,2,"It's good that you have experience in the food industry and know about running a business. Have you thought about combining your design skills with your food experience and starting a food-based design business? Or, if you're interested in a more traditional design firm, you could consider specializing in designing for the food industry. Either way, it sounds like you have a lot of potential options to consider!"
33,4,,,1,Wow the food-based design idea is very innovative. Can you expand on it? It could be worth millions!
34,4,,,2,"I'm glad you think the food-based design idea has potential! It could be a unique and innovative way to combine your skills and experiences. Here are a few ideas to get you started:You could design packaging and branding materials for food and beverage companies.You could create marketing materials for restaurants and other food-based businesses.You could design food trucks, restaurant interiors, and other physical spaces in the food industry.You could even consider starting a food-themed design agency, which could offer a variety of design services to clients in the food industry.There are so many possibilities, and I'm sure you'll be able to come up with even more ideas as you think about it."
35,4,,,1,I was thinking of a bakery with pastries designs that might appeal to higher-status clients. What do you think?
36,4,,,2,"That sounds like a great idea! Specialty bakeries with unique and high-end pastries can be very successful, especially if you can appeal to a higher-status clientele. Here are a few things you might want to consider as you start planning your bakery: Research your competition and see what sets your bakery apart. Determine your target market and what they are looking for in a bakery. Plan out your menu and pricing carefully. Consider your location and how you will attract customers. Start building a social media presence and getting the word out about your bakery. Remember to also think about the practical aspects of starting a business, like getting the necessary licenses and permits, finding suppliers, and managing your finances."
37,4,,,1,I had not thought about the licenses and permits. Do you think that would take a lot of time? 
38,4,,,2,"Obtaining the necessary licenses and permits can take some time, but it's an important step in starting a business. The specific requirements can vary depending on where you are located, so it's a good idea to research what you will need and start the process as soon as possible. Some common licenses and permits that businesses may need include a business license, sales tax permit, food service permit (if applicable), and any industry-specific licenses or permits. It's a good idea to check with your local government to find out what is required in your area."
39,4,,,1,Alright I'll keep your advice in mind. Thank you so much. See ya later!
40,4,,,2,"You're welcome! I'm happy to help. Good luck with your bakery, and feel free to reach out if you have any other questions. Take care!"
41,5,,,1,Hey there! How's it going?
42,5,,,2,"Good, good. How about you?"
43,5,,,1,"I'm doing well. So, I heard we have a business meeting coming up. Have you started preparing for it yet?"
44,5,,,2,"No, not yet. I don't know what to do."
45,5,,,1,"No worries! It's actually not that difficult. First, we should review the agenda and make sure we understand what will be discussed. Then, we should gather any information or materials that we need to present or refer to during the meeting."
46,5,,,2,"Okay, that makes sense. But how do I know what information I need?"
47,5,,,1,"Well, it depends on what's on the agenda. For example, if we're discussing sales numbers, then it would be helpful to have the latest data on hand. Or if we're talking about a new project, we should have any relevant documents or reports ready to go."
48,5,,,2,"Ah, I see. That helps."
49,5,,,1,"Yeah, it's always good to be prepared. And it never hurts to have a little extra information on hand, just in case."
50,5,,,2,Right. I'll start gathering everything I need then.
51,5,,,1,"Sounds like a plan. And if you have any questions or need help finding something, don't hesitate to ask. We're a team, after all!"
52,5,,,2,"Thanks, I appreciate it."
53,5,,,1,"No problem. So, anything else you want to chat about before we get back to work?"
54,5,,,2,"Not really, I think we covered everything."
55,5,,,1,Alright then. Let's get to it!
56,6,,,1,I'm thinking about quitting my job but I am afraid of not finding one that is at least as good as this one.
57,6,,,2,"Hey friend, I totally get it. It can be scary to leave a job that's already good. What do you think you would want to do instead?"
58,6,,,1,"Well, I'm an attorney that works for a big corporation. Im thinking about perhaps being a public defender. Maybe that way I can give back to the community. "
59,6,,,2,"Wow, that's really cool. Public defenders definitely have a tough but important job. Have you looked into what it takes to become one? It might be a good idea to do some research before making a decision."
60,6,,,1,"Yeah, it can be quite demanding. I've heard you need to have really good public speaking skills. I am terrified of speaking in public though! What should I do ?"
61,6,,,2,It's totally normal to be scared of public speaking! But it's a skill that can definitely be improved with practice. Have you considered taking a class or joining a group like Toastmasters to work on it? It might also help to remind yourself that you have something valuable to say and that the people listening are there to hear you out.
62,6,,,1,I guess you are right. I've heard about toastmasters. Perhaps I can join a group and maybe make some friends I can practice with!
63,6,,,2,"Yeah, that sounds like a great idea! Toastmasters is a really supportive community and it's a great way to work on your public speaking skills in a safe and low-stakes environment. You'll definitely make some friends there too. Good luck!"
64,6,,,1,"What about the salary though? I know I would be doing good to the community by becoming a public defender, but I still would like to look after yourself. Do you think salary should come first or second?"
65,6,,,2,It's totally understandable to want to make a good living and support yourself. But it's also important to consider what will make you truly happy and fulfilled in your work. It might be helpful to think about what your priorities are and how much of a role salary plays in that. It's also a good idea to do some research on what the salary range is for public defenders in your area so you can make an informed decision.
66,6,,,1,"True. Do you know of Viktor Frankl's ""A Man's Search for meaning?"". I have been thinking a lot about the meaning of my own life, and thats why I am thinking of switching careers."
67,6,,,2,"Yes, I'm familiar with Viktor Frankl's ""Man's Search for Meaning"". It's a really powerful and thought-provoking book. Frankl's idea of finding meaning in our work and lives is certainly something that resonates with a lot of people. It's definitely worth considering as you think about your own career path and what will bring you the most fulfillment."
68,6,,,1,"Yeah... Alright, thanks for lending me an ear. I'll ttyl"
69,6,,,2,"No problem, happy to help. Take care and keep me updated on what you decide!"
70,7,,,1,I think I want to get a pet. I've been feeling really lonely lately and I think a small furry companion might help me
71,7,,,2,"Hey, that's totally understandable! Pets can be such great companions and bring so much joy to our lives. Have you thought about what kind of pet you might want to get?"
72,7,,,1,"Well, I've had dogs, bunnies and fishes before. I've thoroughly enjoyed taking care of each one of them. But nothing makes you feel as loved as a dog right?"
73,7,,,2,Absolutely! Dogs are known for their loyalty and affection. They can definitely be a great companion. Have you thought about what breed might be the best fit for you and your lifestyle?
74,7,,,1,"Well, my lifestyle is quite sedentary. I think the pup might have to spend most of its time in the apartment except for its daily walks. I dont want to torment an energetic dog in a cramped apartment. Do you have any recommendations? "
75,7,,,2,"There are definitely some dog breeds that are more low-energy and better suited for apartment living. Some options might be a Shih Tzu, a Pomeranian, or a French Bulldog. It's always a good idea to do your research and make sure the breed is a good fit for your lifestyle and living situation."
76,7,,,1,What about a miniature schnauzer? I've heard they are pretty smart and they look cute.
77,7,,,2,"Miniature Schnauzers can make great pets! They are generally intelligent and energetic, but they do require regular grooming to maintain their signature beard and bushy eyebrows. They also tend to bark more than some other breeds, so that's something to keep in mind if you live in close quarters with neighbors. Overall, they can be a loving and loyal breed, but it's always important to do your research to make sure any breed is a good fit for you."
78,7,,,1,That was very helpful. I'll let you know what I end up deciding on!
79,7,,,2,"I'm here to help! Good luck with your decision, and be sure to reach out if you have any other questions."
80,8,,,1,I just got this new job opportunity in the United States. It looks like a very good chance to improve my career but I would have to be away from my family and friends!
81,8,,,2,That sounds like a great opportunity for your career! Have you thought about the logistics of moving and being away from your family and friends?
82,8,,,1,Well I had moved before to Mexico but It was much easier since it was so similar to Colombia. I'm guessing moving to a country with a completely different language might be more difficult. 
83,8,,,2,"It can definitely be challenging to move to a new country, especially one with a different language. Have you thought about taking language classes to prepare for the move? It could make the transition a bit easier. And remember, you can always stay in touch with your family and friends through video calls and social media."
84,8,,,1,"Yeah, I've been taking english classes at a local school. The coach seems great but I would really like to get more hands on experience. Fluency can be really hard to master if you are not consistently speaking the language. "
85,8,,,2,"Definitely, practicing speaking and listening to the language on a daily basis will definitely help you improve. Maybe you could look into finding a language exchange partner or joining a language group in the city you'll be moving to. That way you can get some real-life practice and make some new friends at the same time."
86,8,,,1,Sounds like a solid idea! I am a bit worried that whoever I end up matching with will have to be very patient with me. I am very self-conscious about my pronunciation!
87,8,,,2,"Don't worry, most people are understanding and patient when it comes to helping someone learn a new language. And remember, making mistakes is all part of the learning process. Just keep practicing and you'll get more confident over time. You got this!"
88,8,,,1,"Thanks, that is very reassuring! Besides learning the language, do you think there are any other things I have to consider before making the decision of moving out?"
89,8,,,2,"There are definitely a few other things you should consider before making the decision to move. You might want to think about cost of living, health insurance and cultural differences. These are just a few things to consider, but there may be other factors specific to your situation that you should think about."
90,8,,,1,What would be some cultural differences I might have to be aware of as a Latino in the United States ?
91,8,,,2,"There may be some cultural differences that you'll encounter as a Latino living in the United States. The food in the United States may be different from what you're used to, although you will also be able to find many Latino and Hispanic food options."
92,8,,,1,It is reassuring to know that I can still get a hold of some latino food. Do you recommend any latino food yourself ?
93,8,,,2,"There are so many delicious Latino foods to choose from! I would recommend Empanadas. Empanadas are pastries filled with a variety of ingredients, such as meat, cheese, and vegetables. They are popular in many Latin American countries"
94,8,,,1,I think I'll try empanadas. They sound fantastic. 
95,8,,,2,"Empanadas are definitely a delicious choice! You can find them at many Latino restaurants or markets, or you can even try making them at home. If you decide to try making them at home, you can find a variety of empanada recipes online. Enjoy!"
96,8,,,1,You're welcome. Now go forth and conquer the business email world!
97,9,,,1,I really don't know what to do with this political and economical uncertainty. I need to start making better decisions and work with great people
98,9,,,2,"Hey, don't worry about it. It's tough making decisions when there's so much uncertainty, but you've always been good at that. You've built a successful business on your own, so I know you can handle it. Just remember to trust your gut and surround yourself with good people. Everything will work out."
99,9,,,1,"Sometimes, it's not only about trusting my gut, I feel it needs to be a combination between that and using data to make great decisions."
100,9,,,2,"Absolutely, it's always good to combine gut instincts with data when making decisions. It can help to give you a more well-rounded perspective and increase the chances of making a successful choice. Just be sure to consider all the available information and take the time to thoroughly analyze it before making a decision. And if you're not sure where to start, don't be afraid to ask for help or seek out advice from others. You've got this!"
101,9,,,1,"The thing is that, I'm not always able to have all the information at the right time. Being an entrepreneur sometimes means I have to make decisions on the go. Without experienced peers it can be very challenging."
102,9,,,2,"I totally understand what you're saying. It can be tough making decisions when you don't have all the information or a team to bounce ideas off of. But it's important to remember that you can't always wait for the perfect conditions to make a decision. As an entrepreneur, you have to be able to adapt and make the best choice you can with the information you have at the time. Trust yourself and your abilities, and don't be afraid to seek out advice or mentors when you need guidance. You've always been able to handle tough situations, and I have no doubt you'll continue to do so. Just remember to stay calm and focused, and things will work out."
103,9,,,1,"I don't relate that much with the whole concept of ""trust yourself"" though."
104,9,,,2,"I totally get that. It can be hard to trust yourself, especially when you're facing difficult decisions or uncertain situations. But it's important to remember that you have the skills, knowledge, and experience to handle whatever comes your way. You've built your own successful business, which is no small feat. So don't underestimate your abilities and remember that you are capable of making great decisions. It's okay to seek out advice and guidance from others, but ultimately, you have to trust yourself and your own judgment. Believe in yourself and your abilities, and you'll be able to tackle any challenge that comes your way."
105,9,,,1,"You know, this is not very helpful."
106,9,,,2,"I'm sorry if it doesn't seem helpful. I'm just trying to offer support and encouragement in the best way I know how. I understand that it can be tough making decisions, especially when you're running your own business. But it's important to remember that you have the skills and experience to handle whatever comes your way. Don't doubt yourself and your abilities. Believe in yourself and trust your judgment, and you'll be able to make the right choices for your business. If you need any specific advice or guidance, just let me know and I'll do my best to help."